City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Alfred,-33.5906,26.891,291.48,94,84,5.95,ZA,1611502896
Ushuaia,-54.8,-68.3,290.15,36,75,7.72,AR,1611502734
Misratah,32.3754,15.0925,291.74,45,91,1.89,LY,1611502896
San Jose,37.3394,-121.895,279.82,87,75,3.6,US,1611502545
Torbay,47.6666,-52.7314,273.15,74,40,6.17,CA,1611502897
Albany,42.6001,-73.9662,264.82,41,0,3.13,US,1611502897
Acarí,-15.4311,-74.6158,300.94,46,39,4.38,PE,1611502897
Chokurdakh,70.6333,147.9167,237.42,83,100,5.1,RU,1611502897
Ingham,42.6,-84.3833,268.71,93,90,5.14,US,1611502897
Cherskiy,68.75,161.3,241.48,86,100,3.57,RU,1611502897
Hong Kong,22.2855,114.1577,290.93,86,73,1.34,HK,1611502736
Bredasdorp,-34.5322,20.0403,295.15,46,82,7.2,ZA,1611502897
Barrow,71.2906,-156.7887,255.15,71,1,7.72,US,1611502897
Tautira,-17.7333,-149.15,297.15,83,20,1.03,PF,1611502898
Cidreira,-30.1811,-50.2056,300.04,68,7,4.06,BR,1611502774
Saint-Philippe,-21.3585,55.7679,301.15,69,20,2.06,RE,1611502898
Yellowknife,62.456,-114.3525,245.93,76,75,3.09,CA,1611502773
Upernavik,72.7868,-56.1549,264.42,92,0,6.48,GL,1611502898
Mokolo,10.7398,13.8019,305.15,12,0,3.09,CM,1611502810
Caucayá,-0.1934,-74.7819,303.81,64,75,0.55,CO,1611502898
Rikitea,-23.1203,-134.9692,299.4,65,67,3.81,PF,1611502774
Forbes,-33.3833,148.0167,301.48,41,87,1.34,AU,1611502810
Arlit,18.7369,7.3853,301.57,10,0,4.35,NE,1611502774
Butaritari,3.0707,172.7902,299.15,80,25,4.77,KI,1611502777
Saskylakh,71.9167,114.0833,234.53,79,1,2.5,RU,1611502680
Qaanaaq,77.484,-69.3632,260.23,78,0,1.51,GL,1611502782
Cape Town,-33.9258,18.4232,296.15,46,0,12.86,ZA,1611502204
Kavieng,-2.5744,150.7967,300.9,76,42,3.32,PG,1611502811
Padang,-0.9492,100.3543,300.15,83,40,1.03,ID,1611502811
Mossamedes,-15.1961,12.1522,303.15,51,75,7.72,AO,1611502787
Norman Wells,65.282,-126.8329,248.15,77,90,1.54,CA,1611502778
Timmins,48.4669,-81.3331,255.15,85,40,2.57,CA,1611502676
Iqaluit,63.7506,-68.5145,256.15,78,40,8.75,CA,1611502811
Nikolskoye,59.7035,30.7861,275.37,93,90,3.0,RU,1611502811
Lac du Bonnet,50.2536,-96.0612,249.26,100,99,1.34,CA,1611502811
Vardø,70.3705,31.1107,265.15,79,75,12.86,NO,1611502812
