,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Emerald,-23.5333,148.1667,71.6,68,8,5.75,AU,1611505750
1,Mayo,38.8876,-76.5119,34.0,55,1,10.36,US,1611505750
2,Punta Arenas,-53.15,-70.9167,62.6,36,0,14.97,CL,1611505605
3,Saint-Pierre,-21.3393,55.4781,80.6,74,20,5.75,RE,1611505750
4,Paracuru,-3.41,-39.0306,82.0,71,100,21.99,BR,1611505750
5,Thompson,55.7435,-97.8558,-13.0,70,75,10.36,CA,1611505750
6,Port Alfred,-33.5906,26.891,66.0,91,84,13.31,ZA,1611505751
7,Okha,53.5739,142.9478,-19.97,86,100,15.73,RU,1611505751
8,Margate,51.3813,1.3862,37.0,84,100,4.0,GB,1611505751
9,Rikitea,-23.1203,-134.9692,79.25,65,67,8.52,PF,1611505751
10,Clyde River,70.4692,-68.5914,6.8,92,1,21.85,CA,1611505751
11,Pangnirtung,66.1451,-65.7125,15.39,78,70,3.18,CA,1611505751
12,Fulton,33.7668,-84.4499,51.01,40,1,6.91,US,1611505751
13,Tataouine,32.9297,10.4518,68.0,24,96,14.97,TN,1611505751
14,Albany,42.6001,-73.9662,19.0,36,0,11.99,US,1611505667
15,Ushuaia,-54.8,-68.3,64.4,34,40,19.57,AR,1611505751
16,Bambous Virieux,-20.3428,57.7575,80.6,78,40,3.44,MU,1611505752
17,Merauke,-8.4667,140.3333,79.52,86,99,10.96,ID,1611505752
18,Cape Town,-33.9258,18.4232,71.6,49,0,27.63,ZA,1611505599
19,Qaanaaq,77.484,-69.3632,8.74,78,0,3.38,GL,1611505752
20,Daokou,35.5639,114.5058,40.84,68,100,8.12,CN,1611505752
21,Faya,18.3851,42.4509,64.4,67,0,4.61,SA,1611505752
22,Mana,5.6592,-53.7767,79.99,79,66,13.15,GF,1611505752
23,Hastings,50.8552,0.5729,37.0,77,100,1.99,GB,1611505752
24,Katsuura,35.1333,140.3,44.6,87,75,14.97,JP,1611505752
25,Provideniya,64.3833,-173.3,3.07,85,6,1.28,RU,1611505752
26,Hermanus,-34.4187,19.2345,71.01,57,8,10.0,ZA,1611505753
27,Vaini,-21.2,-175.2,71.6,100,90,11.61,TO,1611505753
28,Saskylakh,71.9167,114.0833,-37.52,79,1,5.59,RU,1611505753
29,Bozhou,33.8772,115.7703,43.99,63,100,5.77,CN,1611505753
30,Bagdarin,54.4333,113.6,-5.31,86,100,3.33,RU,1611505753
31,Nara,34.6851,135.8049,46.99,86,66,2.01,JP,1611505753
32,Vanavara,60.34,102.2797,-21.03,87,99,2.86,RU,1611505754
33,Busselton,-33.65,115.3333,54.0,86,0,6.51,AU,1611505754
34,Longido,-2.7333,36.6833,73.65,58,88,15.37,TZ,1611505754
35,Ilulissat,69.2167,-51.1,19.4,42,25,4.61,GL,1611505755
36,San Patricio,28.017,-97.5169,75.2,88,90,21.85,US,1611505755
37,São João da Barra,-21.6403,-41.0511,87.8,48,40,13.8,BR,1611505755
38,Upernavik,72.7868,-56.1549,16.29,92,0,14.5,GL,1611505755
39,Sarankhola,22.3082,89.7897,61.84,72,0,2.46,BD,1611505755
40,Puerto Ayora,-0.7393,-90.3518,82.4,74,75,13.8,EC,1611505755
41,Salalah,17.0151,54.0924,73.4,56,0,3.69,OM,1611505755
42,Bluff,-46.6,168.3333,57.0,89,71,10.0,NZ,1611505756
43,Port Shepstone,-30.7414,30.455,72.14,87,87,27.49,ZA,1611505756
44,Kansk,56.2017,95.7175,3.65,91,100,4.92,RU,1611505756
45,Tigil',57.8,158.6667,-9.22,91,100,5.3,RU,1611505756
46,Olafsvik,64.8945,-23.7142,29.19,91,85,29.39,IS,1611505756
47,Saint-Augustin,51.226,-58.6502,35.22,85,100,15.7,CA,1611505756
48,Zuwārah,32.9312,12.082,67.55,34,18,17.6,LY,1611505652
49,Chui,-33.6971,-53.4616,82.36,57,42,9.78,UY,1611505756
50,Tasiilaq,65.6145,-37.6368,10.4,56,0,2.3,GL,1611505757
51,Saint Paul Harbor,57.79,-152.4072,35.6,55,1,31.07,US,1611505757
52,Mar del Plata,-38.0023,-57.5575,89.6,40,20,11.5,AR,1611505480
53,São João dos Patos,-6.495,-43.7022,85.84,56,86,9.17,BR,1611505757
54,Butaritari,3.0707,172.7902,78.8,80,25,10.67,KI,1611505757
55,Richards Bay,-28.783,32.0377,73.29,85,100,15.68,ZA,1611505691
56,Kariba,-16.5167,28.8,78.44,82,75,1.68,ZW,1611505758
57,Ossora,59.2353,163.0719,-3.39,84,100,9.06,RU,1611505758
58,Hualmay,-11.0964,-77.6139,76.98,62,20,9.55,PE,1611505758
59,Mataura,-46.1927,168.8643,57.0,89,74,10.0,NZ,1611505758
60,East London,-33.0153,27.9116,66.2,82,90,6.91,ZA,1611505758
61,Hilo,19.7297,-155.09,66.2,77,40,6.91,US,1611505737
62,Santa Maria,-29.6842,-53.8069,87.8,58,75,5.75,BR,1611505758
63,Airai,-8.9266,125.4092,61.57,100,100,2.21,TL,1611505759
64,Wamba,8.9333,8.6,96.48,11,98,7.02,NG,1611505759
65,Kapaa,22.0752,-159.319,73.4,88,40,19.57,US,1611505622
66,Laguna,38.421,-121.4238,41.0,93,20,6.91,US,1611505759
67,Arraial do Cabo,-22.9661,-42.0278,87.8,69,75,20.71,BR,1611505759
68,Haines Junction,60.7522,-137.5108,12.2,92,100,0.81,CA,1611505759
69,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,90,4.61,CA,1611505759
70,Cherskiy,68.75,161.3,-25.01,86,100,7.99,RU,1611505759
71,Yellowknife,62.456,-114.3525,-16.01,76,75,6.91,CA,1611505759
72,Isangel,-19.55,169.2667,78.62,87,100,6.22,VU,1611505618
73,Orán,-23.1322,-64.326,93.6,41,81,3.04,AR,1611505760
74,Tilichiki,60.4667,166.1,-11.58,89,100,13.09,RU,1611505760
75,Kavieng,-2.5744,150.7967,81.95,76,42,7.43,PG,1611505760
76,Boca do Acre,-8.7522,-67.3978,80.33,75,100,4.34,BR,1611505760
77,Smithers,54.7804,-127.1743,15.8,92,90,1.43,CA,1611505760
78,Chokurdakh,70.6333,147.9167,-32.31,83,100,11.41,RU,1611505761
79,Petropavlovsk-Kamchatskiy,53.0452,158.6483,1.4,78,52,8.95,RU,1611505761
80,Tiksi,71.6872,128.8694,-43.33,79,35,7.9,RU,1611505761
81,Taunggyi,20.7833,97.0333,50.97,80,0,0.36,MM,1611505649
82,Avarua,-21.2078,-159.775,80.6,78,20,11.5,CK,1611505761
83,Vila Velha,-20.3297,-40.2925,82.4,65,40,3.44,BR,1611505481
84,Jardim,-21.4803,-56.1381,84.47,76,46,6.26,BR,1611505761
85,Esperance,-33.8667,121.9,57.2,88,40,9.19,AU,1611505761
86,Mikhaylovka,50.06,43.2379,35.01,92,87,8.01,RU,1611505761
87,Mount Gambier,-37.8333,140.7667,71.6,49,51,4.61,AU,1611505761
88,Port Elizabeth,-33.918,25.5701,68.0,77,20,4.61,ZA,1611505762
89,Isla Vista,34.4133,-119.861,48.0,65,1,6.73,US,1611505762
90,Kahului,20.8947,-156.47,70.0,82,1,4.61,US,1611505762
91,Waipawa,-41.4122,175.5153,60.8,77,48,14.97,NZ,1611505762
92,Sisophon,13.5859,102.9737,79.5,65,17,4.88,KH,1611505762
93,Estevan,49.1334,-102.9842,-4.0,71,20,6.91,CA,1611505762
94,Lugovoy,42.9472,72.7644,19.0,92,99,5.23,KZ,1611505763
95,Dingle,10.9995,122.6711,75.47,90,30,5.61,PH,1611505763
96,El Sauzal de Rodríguez,31.9,-116.6833,48.0,90,32,4.0,MX,1611505763
97,Jamestown,42.097,-79.2353,24.8,58,40,2.95,US,1611505763
98,Qaqortoq,60.7167,-46.0333,30.2,29,0,28.77,GL,1611505750
99,College,64.8569,-147.8028,7.0,77,20,3.44,US,1611505763
100,Ambulu,-8.345,113.6058,76.62,78,100,2.98,ID,1611505763
101,St Albans,51.75,-0.3333,35.01,100,90,1.14,GB,1611505518
102,Itarema,-2.9248,-39.9167,87.8,56,98,15.9,BR,1611505763
103,Saint-Philippe,-21.3585,55.7679,80.6,74,20,5.75,RE,1611505763
104,Hvide Sande,56.0045,8.1294,37.4,93,75,2.3,DK,1611505763
105,Khatanga,71.9667,102.5,-19.48,87,100,10.0,RU,1611505764
106,Atuona,-9.8,-139.0333,77.65,77,5,15.08,PF,1611505764
107,Naranjal,-2.6667,-79.6167,77.0,94,75,6.91,EC,1611505764
108,Fukuechō,32.6881,128.8419,53.78,77,29,26.64,JP,1611505764
109,Ponta do Sol,32.6667,-17.1,64.99,66,65,4.0,PT,1611505764
110,Kaitangata,-46.2817,169.8464,59.0,77,62,1.99,NZ,1611505764
111,Nhulunbuy,-12.2333,136.7667,77.0,94,90,11.5,AU,1611505517
112,Talcahuano,-36.7167,-73.1167,69.8,68,20,8.05,CL,1611505764
113,Volot,57.9278,30.7025,35.26,96,100,9.86,RU,1611505764
114,The Valley,18.217,-63.0578,84.2,69,40,16.11,AI,1611505764
115,São Filipe,14.8961,-24.4956,75.58,57,0,7.65,CV,1611505764
116,Dhrāngadhra,22.9833,71.4667,64.53,34,0,9.8,IN,1611505765
117,Xinpu,34.5997,119.1594,40.71,89,92,7.18,CN,1611505765
118,Caibarién,22.5206,-79.4669,77.0,69,75,9.22,CU,1611505765
119,Santa Rosalía,27.3167,-112.2833,57.07,62,31,12.35,MX,1611505765
120,Mahajanga,-15.7167,46.3167,82.4,78,20,8.05,MG,1611505765
121,Timrå,62.487,17.3257,28.99,93,90,5.75,SE,1611505765
